run,variant,scenario,ccr,llm_pct,fbk_pct,sdr,inj,inj_star,avg_ms,duration_ms
6,state_isolated,state_mod,1.000000,0.235000,0.000000,0.000000,,,742.000000,25200.000000
6,state_isolated,injection,1.000000,0.300000,0.000000,0.000000,0.185000,0.000000,896.000000,26900.000000
6,state_isolated,long_session,1.000000,0.029000,0.500000,0.500000,,,180.000000,12400.000000
6,deterministic_only,normal,1.000000,0.000000,0.000000,,,,80.000000,3800.000000
6,deterministic_only,state_mod,1.000000,0.000000,0.000000,,,,104.000000,3500.000000
6,deterministic_only,injection,1.000000,0.000000,0.000000,,0.185000,0.000000,92.000000,2800.000000
6,deterministic_only,long_session,1.000000,0.000000,0.000000,,,,58.000000,4000.000000
6,prompt_only,normal,0.208000,1.000000,0.000000,,,,3832.000000,184000.000000
6,prompt_only,state_mod,0.118000,1.000000,0.000000,,,,1958.000000,66600.000000
6,prompt_only,injection,0.000000,1.000000,0.000000,,0.037000,0.037000,2883.000000,86500.000000
6,prompt_only,long_session,0.174000,1.000000,0.000000,,,,3766.000000,259800.000000
7,state_isolated,normal,1.000000,0.083000,0.250000,0.250000,,,392.000000,18800.000000
7,state_isolated,state_mod,1.000000,0.235000,0.000000,0.000000,,,739.000000,25100.000000
7,state_isolated,injection,1.000000,0.300000,0.000000,0.000000,0.185000,0.000000,889.000000,26700.000000
7,state_isolated,long_session,1.000000,0.029000,0.000000,0.000000,,,179.000000,12400.000000
7,deterministic_only,normal,1.000000,0.000000,0.000000,,,,78.000000,3800.000000
7,deterministic_only,state_mod,1.000000,0.000000,0.000000,,,,108.000000,3700.000000
7,deterministic_only,injection,1.000000,0.000000,0.000000,,0.185000,0.000000,92.000000,2800.000000
7,deterministic_only,long_session,1.000000,0.000000,0.000000,,,,58.000000,4000.000000
7,prompt_only,normal,0.146000,1.000000,0.000000,,,,3853.000000,185000.000000
7,prompt_only,state_mod,0.088000,1.000000,0.000000,,,,2161.000000,73500.000000
7,prompt_only,injection,0.167000,1.000000,0.000000,,0.222000,0.222000,1890.000000,56700.000000
7,prompt_only,long_session,0.116000,1.000000,0.000000,,,,4088.000000,282100.000000
8,state_isolated,normal,1.000000,0.083000,0.000000,0.000000,,,392.000000,18800.000000
8,state_isolated,state_mod,1.000000,0.235000,0.000000,0.000000,,,747.000000,25400.000000
8,state_isolated,injection,1.000000,0.300000,0.111000,0.111000,0.185000,0.000000,889.000000,26700.000000
8,state_isolated,long_session,1.000000,0.029000,0.500000,0.500000,,,178.000000,12300.000000
8,deterministic_only,normal,1.000000,0.000000,0.000000,,,,77.000000,3700.000000
8,deterministic_only,state_mod,1.000000,0.000000,0.000000,,,,105.000000,3600.000000
8,deterministic_only,injection,1.000000,0.000000,0.000000,,0.185000,0.000000,91.000000,2700.000000
8,deterministic_only,long_session,1.000000,0.000000,0.000000,,,,58.000000,4000.000000
8,prompt_only,normal,0.125000,1.000000,0.000000,,,,3708.000000,178000.000000
8,prompt_only,state_mod,0.324000,1.000000,0.000000,,,,4699.000000,159800.000000
8,prompt_only,injection,0.100000,1.000000,0.000000,,0.296000,0.296000,1895.000000,56800.000000
8,prompt_only,long_session,0.174000,1.000000,0.000000,,,,3796.000000,261900.000000
9,state_isolated,normal,1.000000,0.083000,0.000000,0.000000,,,404.000000,19400.000000
9,state_isolated,state_mod,1.000000,0.235000,0.000000,0.000000,,,740.000000,25200.000000
9,state_isolated,injection,1.000000,0.300000,0.000000,0.000000,0.185000,0.000000,899.000000,27000.000000
9,state_isolated,long_session,1.000000,0.029000,0.000000,0.000000,,,180.000000,12400.000000
9,deterministic_only,normal,1.000000,0.000000,0.000000,,,,80.000000,3800.000000
9,deterministic_only,state_mod,1.000000,0.000000,0.000000,,,,102.000000,3500.000000
9,deterministic_only,injection,1.000000,0.000000,0.000000,,0.185000,0.000000,98.000000,2900.000000
9,deterministic_only,long_session,1.000000,0.000000,0.000000,,,,58.000000,4000.000000
9,prompt_only,normal,0.146000,1.000000,0.000000,,,,3508.000000,168400.000000
9,prompt_only,state_mod,0.088000,1.000000,0.000000,,,,1924.000000,65400.000000
9,prompt_only,injection,0.100000,1.000000,0.000000,,0.444000,0.444000,2095.000000,62900.000000
9,prompt_only,long_session,0.217000,1.000000,0.000000,,,,3815.000000,263200.000000
10,state_isolated,normal,1.000000,0.083000,0.250000,0.250000,,,403.000000,19400.000000
10,state_isolated,state_mod,1.000000,0.235000,0.000000,0.000000,,,753.000000,25600.000000
10,state_isolated,injection,1.000000,0.300000,0.111000,0.111000,0.185000,0.000000,901.000000,27000.000000
10,state_isolated,long_session,1.000000,0.029000,0.000000,0.000000,,,179.000000,12300.000000
10,deterministic_only,normal,1.000000,0.000000,0.000000,,,,80.000000,3900.000000
10,deterministic_only,state_mod,1.000000,0.000000,0.000000,,,,109.000000,3700.000000
10,deterministic_only,injection,1.000000,0.000000,0.000000,,0.185000,0.000000,94.000000,2800.000000
10,deterministic_only,long_session,1.000000,0.000000,0.000000,,,,58.000000,4000.000000
10,prompt_only,normal,0.188000,1.000000,0.000000,,,,4027.000000,193300.000000
10,prompt_only,state_mod,0.088000,1.000000,0.000000,,,,2055.000000,69900.000000
10,prompt_only,injection,0.000000,1.000000,0.000000,,0.148000,0.148000,2341.000000,70200.000000
10,prompt_only,long_session,0.159000,1.000000,0.000000,,,,4850.000000,334600.000000
11,state_isolated,normal,1.000000,0.083000,0.000000,0.000000,,,397.000000,19100.000000
11,state_isolated,state_mod,1.000000,0.235000,0.000000,0.000000,,,741.000000,25200.000000
11,state_isolated,injection,1.000000,0.300000,0.111000,0.111000,0.185000,0.000000,893.000000,26800.000000
11,state_isolated,long_session,1.000000,0.029000,0.500000,0.500000,,,179.000000,12400.000000
11,deterministic_only,normal,1.000000,0.000000,0.000000,,,,79.000000,3800.000000
11,deterministic_only,state_mod,1.000000,0.000000,0.000000,,,,110.000000,3700.000000
11,deterministic_only,injection,1.000000,0.000000,0.000000,,0.185000,0.000000,94.000000,2800.000000
11,deterministic_only,long_session,1.000000,0.000000,0.000000,,,,58.000000,4000.000000
11,prompt_only,normal,0.146000,1.000000,0.000000,,,,3926.000000,188400.000000
11,prompt_only,state_mod,0.206000,1.000000,0.000000,,,,1718.000000,58400.000000
11,prompt_only,injection,0.200000,1.000000,0.000000,,0.037000,0.037000,2064.000000,61900.000000
11,prompt_only,long_session,0.174000,1.000000,0.000000,,,,3682.000000,254100.000000
12,state_isolated,normal,1.000000,0.083000,0.000000,0.000000,,,405.000000,19400.000000
12,state_isolated,state_mod,1.000000,0.235000,0.000000,0.000000,,,730.000000,24800.000000
12,state_isolated,injection,1.000000,0.300000,0.111000,0.111000,0.185000,0.000000,886.000000,26600.000000
12,state_isolated,long_session,1.000000,0.029000,0.000000,0.000000,,,179.000000,12300.000000
12,deterministic_only,normal,1.000000,0.000000,0.000000,,,,79.000000,3800.000000
12,deterministic_only,state_mod,1.000000,0.000000,0.000000,,,,106.000000,3600.000000
12,deterministic_only,injection,1.000000,0.000000,0.000000,,0.185000,0.000000,92.000000,2800.000000
12,deterministic_only,long_session,1.000000,0.000000,0.000000,,,,58.000000,4000.000000
12,prompt_only,normal,0.188000,1.000000,0.000000,,,,3451.000000,165700.000000
12,prompt_only,state_mod,0.088000,1.000000,0.000000,,,,1990.000000,67700.000000
12,prompt_only,injection,0.067000,1.000000,0.000000,,0.296000,0.296000,1952.000000,58500.000000
12,prompt_only,long_session,0.145000,1.000000,0.000000,,,,3899.000000,269000.000000
13,state_isolated,normal,1.000000,0.083000,0.000000,0.000000,,,392.000000,18800.000000
13,state_isolated,state_mod,1.000000,0.235000,0.000000,0.000000,,,738.000000,25100.000000
13,state_isolated,injection,1.000000,0.300000,0.111000,0.111000,0.185000,0.000000,894.000000,26800.000000
13,state_isolated,long_session,1.000000,0.029000,0.000000,0.000000,,,181.000000,12500.000000
13,deterministic_only,normal,1.000000,0.000000,0.000000,,,,77.000000,3700.000000
13,deterministic_only,state_mod,1.000000,0.000000,0.000000,,,,106.000000,3600.000000
13,deterministic_only,injection,1.000000,0.000000,0.000000,,0.185000,0.000000,93.000000,2800.000000
13,deterministic_only,long_session,1.000000,0.000000,0.000000,,,,59.000000,4000.000000
13,prompt_only,normal,0.167000,1.000000,0.000000,,,,3874.000000,186000.000000
13,prompt_only,state_mod,0.088000,1.000000,0.000000,,,,1970.000000,67000.000000
13,prompt_only,injection,0.100000,1.000000,0.000000,,0.444000,0.444000,2165.000000,64900.000000
13,prompt_only,long_session,0.159000,1.000000,0.000000,,,,3902.000000,269200.000000
14,state_isolated,normal,1.000000,0.083000,0.000000,0.000000,,,395.000000,19000.000000
14,state_isolated,state_mod,1.000000,0.235000,0.000000,0.000000,,,744.000000,25300.000000
14,state_isolated,injection,1.000000,0.300000,0.111000,0.111000,0.185000,0.000000,903.000000,27100.000000
14,state_isolated,long_session,1.000000,0.029000,0.500000,0.500000,,,180.000000,12400.000000
14,deterministic_only,normal,1.000000,0.000000,0.000000,,,,80.000000,3900.000000
14,deterministic_only,state_mod,1.000000,0.000000,0.000000,,,,110.000000,3800.000000
14,deterministic_only,injection,1.000000,0.000000,0.000000,,0.185000,0.000000,97.000000,2900.000000
14,deterministic_only,long_session,1.000000,0.000000,0.000000,,,,58.000000,4000.000000
14,prompt_only,normal,0.167000,1.000000,0.000000,,,,3511.000000,168500.000000
14,prompt_only,state_mod,0.059000,1.000000,0.000000,,,,1881.000000,63900.000000
14,prompt_only,injection,0.100000,1.000000,0.000000,,0.148000,0.148000,1829.000000,54900.000000
14,prompt_only,long_session,0.145000,1.000000,0.000000,,,,3875.000000,267300.000000
15,state_isolated,normal,1.000000,0.083000,0.250000,0.250000,,,392.000000,18800.000000
15,state_isolated,state_mod,1.000000,0.235000,0.000000,0.000000,,,733.000000,24900.000000
15,state_isolated,injection,1.000000,0.300000,0.000000,0.000000,0.185000,0.000000,880.000000,26400.000000
15,state_isolated,long_session,1.000000,0.029000,0.000000,0.000000,,,178.000000,12300.000000
15,deterministic_only,normal,1.000000,0.000000,0.000000,,,,78.000000,3700.000000
15,deterministic_only,state_mod,1.000000,0.000000,0.000000,,,,109.000000,3700.000000
15,deterministic_only,injection,1.000000,0.000000,0.000000,,0.185000,0.000000,97.000000,2900.000000
15,deterministic_only,long_session,1.000000,0.000000,0.000000,,,,58.000000,4000.000000
15,prompt_only,normal,0.146000,1.000000,0.000000,,,,3860.000000,185300.000000
15,prompt_only,state_mod,0.088000,1.000000,0.000000,,,,2070.000000,70400.000000
15,prompt_only,injection,0.100000,1.000000,0.000000,,0.296000,0.296000,2024.000000,60700.000000
15,prompt_only,long_session,0.116000,1.000000,0.000000,,,,3593.000000,247900.000000
16,state_isolated,normal,1.000000,0.083000,0.250000,0.250000,,,402.000000,19300.000000
16,state_isolated,state_mod,1.000000,0.235000,0.000000,0.000000,,,745.000000,25300.000000
16,state_isolated,injection,1.000000,0.300000,0.000000,0.000000,0.185000,0.000000,902.000000,27000.000000
16,state_isolated,long_session,1.000000,0.029000,0.500000,0.500000,,,178.000000,12300.000000
16,deterministic_only,normal,1.000000,0.000000,0.000000,,,,82.000000,3900.000000
16,deterministic_only,state_mod,1.000000,0.000000,0.000000,,,,110.000000,3700.000000
16,deterministic_only,injection,1.000000,0.000000,0.000000,,0.185000,0.000000,93.000000,2800.000000
16,deterministic_only,long_session,1.000000,0.000000,0.000000,,,,58.000000,4000.000000
16,prompt_only,normal,0.167000,1.000000,0.000000,,,,4005.000000,192200.000000
16,prompt_only,state_mod,0.059000,1.000000,0.000000,,,,2114.000000,71900.000000
16,prompt_only,injection,0.100000,1.000000,0.000000,,0.333000,0.333000,1974.000000,59200.000000
16,prompt_only,long_session,0.174000,1.000000,0.000000,,,,3901.000000,269200.000000
17,state_isolated,normal,1.000000,0.083000,0.250000,0.250000,,,470.000000,22600.000000
17,state_isolated,state_mod,1.000000,0.235000,0.000000,0.000000,,,735.000000,25000.000000
17,state_isolated,injection,1.000000,0.300000,0.000000,0.000000,0.185000,0.000000,883.000000,26500.000000
17,state_isolated,long_session,1.000000,0.029000,0.000000,0.000000,,,180.000000,12400.000000
17,deterministic_only,normal,1.000000,0.000000,0.000000,,,,81.000000,3900.000000
17,deterministic_only,state_mod,1.000000,0.000000,0.000000,,,,104.000000,3500.000000
17,deterministic_only,injection,1.000000,0.000000,0.000000,,0.185000,0.000000,92.000000,2700.000000
17,deterministic_only,long_session,1.000000,0.000000,0.000000,,,,58.000000,4000.000000
17,prompt_only,normal,0.146000,1.000000,0.000000,,,,3691.000000,177200.000000
17,prompt_only,state_mod,0.029000,1.000000,0.000000,,,,2243.000000,76200.000000
17,prompt_only,injection,0.067000,1.000000,0.000000,,0.333000,0.333000,1769.000000,53100.000000
17,prompt_only,long_session,0.203000,1.000000,0.000000,,,,3654.000000,252100.000000
18,state_isolated,normal,1.000000,0.083000,0.000000,0.000000,,,395.000000,19000.000000
18,state_isolated,state_mod,1.000000,0.235000,0.000000,0.000000,,,753.000000,25600.000000
18,state_isolated,injection,1.000000,0.300000,0.111000,0.111000,0.185000,0.000000,890.000000,26700.000000
18,state_isolated,long_session,1.000000,0.029000,0.000000,0.000000,,,181.000000,12500.000000
18,deterministic_only,normal,1.000000,0.000000,0.000000,,,,81.000000,3900.000000
18,deterministic_only,state_mod,1.000000,0.000000,0.000000,,,,107.000000,3700.000000
